,Country,Year,Government R&D,Corporate R&D,Venture capital,Private equity expansion capital,Public markets,Asset finance,Asset Finance minus Re-invested equity,Small distributed capacity,Private equity buy-outs,Public markets investor exits,Corporate M&A,Project acquisition & refinancing,Total: M&A/ buy-outs etc.
58,India,2018,0.16499999999999998,0.23399999999999999,0.006,0.066,0.18,7.26,7.085999999999999,1.1460000000000001,0.39,0.003,0.438,3.714,4.545
59,India,2019,0.17099999999999999,0.23099999999999998,0.006,0.054,0.19799999999999998,6.903,6.800999999999999,1.563,0.096,0.0,0.411,2.514,3.021
60,United States,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,United States,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,United States,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,United States,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,United States,2004,0.532,0.532,0.11200000000000002,0.084,0.084,8.988000000000001,8.96,2.24,0.22400000000000003,0.11200000000000002,0.6160000000000001,1.428,2.3800000000000003
65,United States,2005,0.54,0.513,0.162,0.27,0.9720000000000001,13.5,13.446,2.727,0.9990000000000001,0.621,2.052,3.375,7.074
66,United States,2006,0.5940000000000001,0.5940000000000001,0.324,0.783,2.4030000000000005,21.384000000000004,20.790000000000003,2.43,0.48600000000000004,0.7020000000000001,2.7810000000000006,5.049,9.018
67,United States,2007,0.675,0.575,0.525,0.875,4.925,26.575,25.8,3.475,0.825,0.975,4.95,7.475,14.225
68,United States,2008,0.644,0.759,0.759,1.5410000000000001,2.415,30.705000000000002,29.693,5.106,1.173,0.20700000000000002,3.7950000000000004,8.234,13.409
69,United States,2009,1.296,0.7919999999999999,0.384,0.72,2.808,26.831999999999997,25.944,8.328000000000001,0.45599999999999996,0.576,5.3759999999999994,8.376,14.76
70,United States,2010,1.1270000000000002,0.874,0.5980000000000001,1.219,2.438,35.006,34.592000000000006,14.007,0.437,1.104,4.301,7.36,13.179
71,United States,2011,1.008,0.9029999999999999,0.546,0.504,2.079,39.815999999999995,39.375,15.770999999999999,0.609,0.042,6.216,8.883,15.75
72,United States,2012,1.034,0.9019999999999999,0.528,0.35200000000000004,0.836,37.422,36.784,15.378000000000002,0.66,0.08800000000000001,2.0460000000000003,11.66,14.454
73,United States,2013,1.1440000000000001,0.88,0.17600000000000002,0.28600000000000003,2.156,37.73,37.466,8.844000000000001,0.11,0.374,3.564,10.714,14.74
74,United States,2014,0.99,0.946,0.22,0.374,3.278,50.248000000000005,49.478,8.074,0.9019999999999999,0.35200000000000004,2.464,15.818000000000001,19.535999999999998
75,United States,2015,1.056,0.9839999999999999,0.33599999999999997,0.432,2.88,64.24799999999999,62.64,7.824,0.864,0.36,4.4159999999999995,20.304,25.944
76,United States,2016,1.275,1.075,0.2,0.425,1.55,61.875,60.85,8.125,0.8,1.6,7.375,23.7,33.475
77,United States,2017,1.224,1.656,0.192,0.16799999999999998,1.3439999999999999,65.424,64.728,10.2,2.544,0.6719999999999999,3.192,28.703999999999997,35.087999999999994
78,United States,2018,1.3199999999999998,1.8719999999999999,0.048,0.528,1.44,58.08,56.687999999999995,9.168000000000001,3.12,0.024,3.504,29.712,36.36
79,United States,2019,1.3679999999999999,1.8479999999999999,0.048,0.432,1.5839999999999999,55.224,54.407999999999994,12.504,0.768,0.0,3.288,20.112,24.168
