,Country,Year,Government R&D,Corporate R&D,Venture capital,Private equity expansion capital,Public markets,Asset finance,Asset Finance minus Re-invested equity,Small distributed capacity,Private equity buy-outs,Public markets investor exits,Corporate M&A,Project acquisition & refinancing,Total: M&A/ buy-outs etc.,Number of policies
36,Germany,2016,0.255,0.215,0.040000000000000015,0.085,0.31000000000000005,12.375,12.170000000000002,1.625,0.16000000000000006,0.3200000000000001,1.475,4.74,6.695,4
37,Germany,2017,0.255,0.34500000000000003,0.040000000000000015,0.035,0.28,13.630000000000004,13.485,2.125,0.53,0.14,0.665,5.98,7.31,2
38,Germany,2018,0.275,0.39,0.010000000000000002,0.11,0.30000000000000004,12.1,11.81,1.91,0.65,0.005000000000000001,0.73,6.19,7.575,0
39,Germany,2019,0.228,0.308,0.008,0.07200000000000001,0.264,9.204,9.068,2.084,0.128,0.0,0.5479999999999999,3.352,4.0280000000000005,0
40,India,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
41,India,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
42,India,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
43,India,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
44,India,2004,0.038,0.038,0.008,0.006,0.006,0.642,0.64,0.16,0.016,0.008,0.044,0.102,0.17,0
45,India,2005,0.04,0.038,0.012,0.02,0.07200000000000001,1.0,0.996,0.202,0.07400000000000001,0.046,0.152,0.25,0.524,0
46,India,2006,0.044,0.044,0.024,0.058,0.17800000000000002,1.584,1.54,0.18,0.036000000000000004,0.052000000000000005,0.206,0.374,0.6679999999999999,1
47,India,2007,0.054000000000000006,0.046,0.042,0.07,0.39399999999999996,2.126,2.064,0.278,0.066,0.078,0.396,0.598,1.138,0
